ID,"Title","NPCs","Status","Responsible Author","Description"
1,"Legends of Irundar",,,"vilarion",
2,"Newbie Island (OLD)",,,"pharse","Old and obsolete. DO NOT USE!"
3,"The Craven Orc",207,,"Estralis","An orc is afraid of monsters. Smash 'em! "
4,"The Poacher",206,,"Estralis","Hunt animals in the Elstree forest for stuff and money "
5,"The Thief",,,"vilarion","Loot the thief's treasure"
6,"Vanima Magic Trap",,,"vilarion","Travellars to Vanima with Status 1 are trapped"
7,"Boats",,,"vilarion/Nitram","Stores whether a char is on a boat and where to"
8,"Transporter NPCs",,,"vilarion/Nitram","Stores if the Character has a transporter npc or not"
9,"The ""special"" cake",,,"pharse","Bring the halfling all ingredients"
10,"The Druid",,,"Ardian","Bring the druid his herbs and a bottle"
11,"A treasure under the stone",,,"martin/Nitram","A npc tells you about a special stone where the user finds something"
12,"Fraction Status - Albar",,,"?","The status to the fraction of Albar"
13,"Fraction Status - Salkamar",,,"?","The status to the fraction of Salkamar"
14,"Fraction Status - Thiefs",,,"?","The status to the fraction of the Thiefs"
15,"Fraction Status - Explorer",,,"?","The status to the fraction of the Explorer"
16,"Fraction Status - Gynk",,,"?","The status to the fraction of Albar"
17,"game_poker.lua",,,"vilarion","Number of chips on the table in case of a !fr"
18,"Priest System",,,"pharse/Estralis","Save values"
19,"Character storage hack",,,"Nitram","Save the character sometimes"
20,"MultiRes",,,"pharse","timestamp of last resurrection"
21,"The Thimblerig",,,"Estralis/Ardian","A Thimblerig npc"
22,"The Missing Locket",,,"Hadrian_Abla","Npc lost her locket, sends you to Gb to fetch it for a reward"
23,"Druid System",,,"blay","limits language potions (in druidhouse) to 5"
24,"Magic Lock",,,"Nitram","Freezes the skills and runes of a character, so he can't gain any more skills or runes"
25,"Forced Labour",,,"Estralis/Ardian","A player needs to deliver some ore, coal and goal to get released from a work camp."
26,"Forced Labour/Imprisoning ID",,,"Estralis/Ardian","Holds the value from which town a char got arrested."
27,"Kill the spider in the cellar",168,,"Ardian","A farmer has some trouble with bugs(spiders) in the cellar which eat his stocks, the char gets a key for the cellar to kill the bugs"
28,"A farmer needs help",,,"Ardian","A farmer needs someone who takes care of one of his cows for some days. Status of quest"
29,"A farmer needs help",,,"Ardian","A farmer needs someone who takes care of one of his cows for some days. Values for quest"
30,"Faction system New Illarion",,,"pharse","Holds the time stamp for joining the faction (persistent rank is calculated from this)"
31,"Natural haircolor",,,"Miriam/Lillian/Merung","Holds the natural haircolor of a character"
32,"Original hairstyle",,,"Miriam/Lillian/Merung","Holds the original hairstyle of a character"
33,"Original beardstyle",,,"Miriam/Lillian/Merung","Holds the original beardstyle of a character"
34,"Original haircolor",,,"Miriam/Lillian/Merung","Holds the original haircolor of a character"
35,"Number of base attribute changes",,,"vilarion","Used to calculate the price of a permanent attribute change"
36,"Indicates if player will be attacked by monsters",,,"vilarion","0: monsters will attack; not 0: monsters will NOT attack"
37,"New mage Flag by queststatus"
61,"Orders for npcs",,,"Ardian","stores the thrustworthyness of a character (i value is to less you won't get new orders for an amount of time) value between 1-100"
62,"Mineth, the Coat of Arms tailoress",,,"Ardian","a woman npc needs help to make something for a group, stores the quest status"
63,"Nanginis the Nargun Priest",,,"Ardian","a nargun priest creates by random items for you if you give him some coins(kind of a gambler)"
64,"Generic gathering quests",,,"Estralis","A set of four quests for each NPC to gather stuff for money"
65,"Generic gathering quests",,,"Estralis","A set of four quests for each NPC to gather stuff for money"
66,"Generic gathering quests",,,"Estralis","A set of four quests for each NPC to gather stuff for money"
67,"Generic gathering quests",,,"Estralis","A set of four quests for each NPC to gather stuff for money"
68,"Generic gathering quests",,,"Estralis","A set of four quests for each NPC to gather stuff for money"
69,"Generic gathering quests",,,"Estralis","A set of four quests for each NPC to gather stuff for money"
70,"Generic gathering quests",,,"Estralis","A set of four quests for each NPC to gather stuff for money"
71,"Generic gathering quests",,,"Estralis","A set of four quests for each NPC to gather stuff for money"
72,"The Smuggler",,,"Estralis","A highly mobile, outcast NPC needs various things one can obtain in the towns"
73,"The Lazy Tailoress",192,,"Estralis","Lilith Needlehand needs things to craft robes for the archmage."
74,"The Gossipers",,,"Estralis","Bring 'em booze and they'll tell you secrets."
75,"The Gossipers",,,"Estralis","Bring 'em booze and they'll tell you secrets."
76,"The Gossipers",,,"Estralis","Bring 'em booze and they'll tell you secrets."
77,"Galmair Seewers",200,,"Estralis","Miggs sends you down to pwn monsters in the sewers (noob quest Galmair)"
78,"Sir Reginald's Tomb",226,,"Estralis","Noob quest Cadomyr"
79,"A Cave in the Woods",225,,"Estralis","Noob quest Runewick"
60,"Treasure map counter",,,"Merung","Used to count how many successful treasure huntings the char has taken part in"
80,"Gathering Quests - Stuff for Skill",,,"Zot","For every skill one gathering quest"
81,"Gathering Quests - Stuff for Skill",,,"Zot","For every skill one gathering quest"
82,"Gathering Quests - Stuff for Skill",,,"Zot","For every skill one gathering quest"
83,"Gathering Quests - Stuff for Skill",,,"Zot","For every skill one gathering quest"
84,"Gathering Quests - Stuff for Skill",,,"Zot","For every skill one gathering quest"
85,"Gathering Quests - Stuff for Skill",,,"Zot","For every skill one gathering quest"
86,"Gathering Quests - Stuff for Skill",,,"Zot","For every skill one gathering quest"
87,"Gathering Quests - Stuff for Skill",,,"Zot","For every skill one gathering quest"
88,"Gathering Quests - Stuff for Skill",,,"Zot","For every skill one gathering quest"
89,"Gathering Quests - Stuff for Skill",,,"Zot","For every skill one gathering quest"
90,"Gathering Quests - Stuff for Skill",,,"Zot","For every skill one gathering quest"
91,"Gathering Quests - Stuff for Skill",,,"Zot","For every skill one gathering quest"
92,"Gathering Quests - Stuff for Skill",,,"Zot","For every skill one gathering quest"
93,"Gathering Quests - Stuff for Skill",,,"Zot","For every skill one gathering quest"
94,"Gathering Quests - Stuff for Skill",,,"Zot","For every skill one gathering quest"
95,"Gathering Quests - Stuff for Skill",,,"Zot","For every skill one gathering quest"
96,"Gathering Quests - Stuff for Skill",,,"Zot","For every skill one gathering quest"
97,"Gathering Quests - Stuff for Skill",,,"Zot","For every skill one gathering quest"
98,"Gathering Quests - Stuff for Skill",,,"Zot","For every skill one gathering quest"
99,"Gathering Quests - Stuff for Skill",,,"Zot","For every skill one gathering quest"
100,"Gathering Quests - Stuff for Skill",,,"Zot","For every skill one gathering quest"
101,"The Lost Guard",,,"?","A guard is missing, find him"
102,"The Lost Guard",,,"?","A guard is missing, find him"
103,"The Lost Guard",,,"?","A guard is missing, find him"
104,"The Errant Crusade",,,"Estralis","Stop the foul(?) deeds of an evil cult; NPC Arenius Batavius"
105,"A light at the end of the tunnel",,,"Estralis","Make sure the candles are burning in the tomb of Runewick; NPC Gregor Remethar"
106,"Milo's Ox",,,"Estralis","Milo's ox won't move one further step without carrots!"
107,"The Reminder",,,"Estralis","Galmair message quest"
108,"Delayed Mail",,,"Estralis","Cadomyr message quest"
109,"Eating on the Job",,,"Estralis","Runewick guards wants some supplies"
110,"Cadomyr laws",,,"Estralis","Keeps track which laws of Cadomyr the player read"
111,"A question of honour",,,"Estralis","Cadomyr patrol quest"
112,"The Ghost Oak",,,"Estralis/Regallo","An imposer wants to destroy any evidence for a foul deed that happened 400 years ago"
113,"A spark to a flame",,,"Estralis","Do some deeds to honour Brágon"
114,"A spark to a flame",,,"Estralis","Keeps track of visited triggerfields"
115,"A question of honour",,,"Estralis","Patrol 1"
116,"A question of honour",,,"Estralis","Patrol 2"
117,"A question of honour",,,"Estralis","Patrol 3"
118,"Runewick Gardens",,,"Estralis","Get 10 apples omg!"
119,"Do a good turn daily for Cadomyr",,,"Estralis","Cadomyr daily mission - Quest"
120,"Do a good turn daily for Cadomyr",,,"Estralis","Cadomyr daily mission - Recovery time"
121,"The Errant Crusade",,,"Estralis","Triggered events for Salavesh dungeon"
122,"Enforce skill system switch",,,"Estralis","Temporary solution to catch new players"
123,"Taxpaying system",,,"Martin","records the timestamp (1000*yr+mon) of the last date taxes were paid"
124,"Taxpaying system",,,"Martin","records the timestamp (1000*yr+mon) of the last date wages were paid to that player."
125,"The Royal Stables",337,,"Estralis","Get hay and carrots for Cadomyr's mounts"
126,"A Noble Celebration",319,,"Estralis","Get tableware for a celebration"
127,"Caravan of honour",,,"Estralis","Daily quest by Phillip Molitor - quest selector"
128,"Caravan of honour",,,"Estralis","Daily quest by Phillip Molitor - quest countdown"
129,"Caravan of honour",,,"Estralis","Daily quest by Phillip Molitor - quest cooldown"
130,"Explorer's Guild",,,"Martin","Find places (stones) spread all over the world, the more you find the better it is; receive rewards for them"
131,"Explorer's Guild",,,"Martin","Find places (stones) spread all over the world, the more you find the better it is; receive rewards for them"
132,"Explorer's Guild",,,"Martin","Find places (stones) spread all over the world, the more you find the better it is; receive rewards for them"
133,"Explorer's Guild",,,"Martin","Find places (stones) spread all over the world, the more you find the better it is; receive rewards for them"
134,"Explorer's Guild",,,"Martin","Find places (stones) spread all over the world, the more you find the better it is; receive rewards for them"
135,"Explorer's Guild",,,"Martin","Find places (stones) spread all over the world, the more you find the better it is; receive rewards for them"
136,"Explorer's Guild",,,"Martin","Find places (stones) spread all over the world, the more you find the better it is; receive rewards for them"
137,"Explorer's Guild",,,"Martin","Find places (stones) spread all over the world, the more you find the better it is; receive rewards for them"
138,"Explorer's Guild",,,"Martin","Find places (stones) spread all over the world, the more you find the better it is; receive rewards for them"
139,"Explorer's Guild",,,"Martin","Find places (stones) spread all over the world, the more you find the better it is; receive rewards for them"
140,"Explorer's Guild",,,"Martin","Find places (stones) spread all over the world, the more you find the better it is; receive rewards for them"
141,"Explorer's Guild",,,"Martin","Find places (stones) spread all over the world, the more you find the better it is; receive rewards for them"
142,"Explorer's Guild",,,"Martin","Find places (stones) spread all over the world, the more you find the better it is; receive rewards for them"
143,"Explorer's Guild",,,"Martin","Find places (stones) spread all over the world, the more you find the better it is; receive rewards for them"
144,"Explorer's Guild",,,"Martin","Find places (stones) spread all over the world, the more you find the better it is; receive rewards for them"
145,"Explorer's Guild",,,"Martin","Find places (stones) spread all over the world, the more you find the better it is; receive rewards for them"
146,"Explorer's Guild",,,"Martin","Find places (stones) spread all over the world, the more you find the better it is; receive rewards for them"
147,"Explorer's Guild",,,"Martin","Find places (stones) spread all over the world, the more you find the better it is; receive rewards for them"
148,"Explorer's Guild",,,"Martin","Find places (stones) spread all over the world, the more you find the better it is; receive rewards for them"
149,"Explorer's Guild",,,"Martin","Find places (stones) spread all over the world, the more you find the better it is; receive rewards for them"
150,"Present from Cadomyr",,,"Miriam","Reret Odohier ask you to find 15 desert sky capsuls"
151,"Cadomyr Treasury",,,"Estralis","Donate something to the Cadomyr treasury, NPC Ioannes Faber"
152,"Stock up Galmair's Storage",,,"Salathe","Galmair daily mission - Quest"
153,"Stock up Galmair's Storage",,,"Salathe","Galmair daily mission - Recovery time"
154,"Skill system",,,"Estralis","Logs the first skill up"
160,"For Runewick",,,"Silverwing/Rakaya","Runewick daily missions"
161,"For Runewick",,,"Silverwing/Rakaya","Runewick daily missions"
162,"Glorious Bounty",,,"Estralis","Daily quest by Palis Nestros - quest selector"
